ProblemID,ContextId,Qletter,Scenario,Question,A,B,C,D,Hint,Feedback,Answer
11,4,a,Four of the 15 administrative assistants in an office are going to attend a workshop on how to use a new software program.,How many ways can the 4 be selected for the workshop?,\(15^4\),\(4!\),\(_{15}P_{4}\) or \(\dfrac{15!}{(15-4)!}\),\(_{15}C_{4}\) or \(\dfrac{15!}{4!(15-4)!}\),Order that 4 people are selected in does not matter. ,,D
12,4,b,Four of the 15 administrative assistants in an office are going to attend a workshop on how to use a new software program.,One of the 4 selected to take part in the workshop will then be assigned to train the other 11 administrative assistants in using the software.  How many total ways can the 4 be selected including this part of the program?,\(4(1+_{14}C_{3})\),\(15\cdot_{14}C_{3} = _{15}C_{4}\cdot{4})\),\(4\cdot(15^4)\),\(4(_{4}C_{1} + _{11}C_{3})\),# of ways to pick trainer from all 15 then pick three non-trainers to also go to workshop = # of ways to pick 4 to attend workshop then one of 4 to be trainer,,B
13,5,a,"Consider 6 classes, each consisting of 50 students. From this group of 300 students, a group of 6 students is to be chosen.",How many choices are possible?,\(6\cdot_{50}C_{1}\),\(6\cdot_{50}C_{6}\),\(300^6\),\(_{300}C_{6}\),Order of 6 chosen students does not matter and the class they are in does not matter. ,,D
14,5,b,"Consider 6 classes, each consisting of 50 students. From this group of 300 students, a group of 6 students is to be chosen.",How many choices are there in which all 6 students are in the same class? ,\(6\cdot_{50}C_{1}\),\(\dfrac{_{300}C_{6}}{6}\),\(6\cdot_{50}C_{6}\),\(50!\cdot{49!}\cdot{48}!\cdot{47!}\cdot{46!}\),"Orden of 6 students chosen does not matter, but the classroom they came from MUST be the same. ",,C
15,5,c,"Consider 6 classes, each consisting of 50 students. From this group of 300 students, a group of 6 students is to be chosen.",How many choices are there in exactly 4 of the 6 students are in the same class and the other student/students) is/are in different classes?,\(50\cdot{49}\cdot{48}\cdot{47}+350\cdot{349}\),\([6\cdot(_{50}C_{4})]\cdot[_{350}C_{2}]\),\([6\cdot(_{300}C_{4})]\cdot[_{296}C_{2}]\),\([6\cdot(_{50}C_{4})]\cdot[_{5}C_{2}\cdot{50}\cdot{50}]\),# of ways to pick the class with the four students then pick the students from that then pick the other two classes from the remaining 5 classes ,,D
16,5,d,"Consider 6 classes, each consisting of 50 students. From this group of 300 students, a group of 6 students is to be chosen.",How many choices are there that at least 4 of the 6 students are in the same class and the other student/students) is/are in different classes?,,,,,,,
17,5,e,"Consider 6 classes, each consisting of 50 students. From this group of 300 students, a group of 6 students is to be chosen.",How many choices are there that at most 4 of the 6 students are in the same class and the other student/students) is/are in different classes?,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,,,,,,,,,,,
81,,,,,,,,,,,
82,,,,,,,,,,,
83,,,,,,,,,,,
84,,,,,,,,,,,
85,,,,,,,,,,,
86,,,,,,,,,,,
87,,,,,,,,,,,
88,,,,,,,,,,,
89,,,,,,,,,,,
90,,,,,,,,,,,
